taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
8034517	Chlorociboria Seaver ex C.S.Ramamurthi, Korf & L.R.Batra	8034517	Chlorociboria Seaver ex C.S.Ramamurthi, Korf & L.R.Batra	1	GENUS	ACCEPTED	Fungi	5	Ascomycota	95	Leotiomycetes	179	Helotiales	1052	Chlorociboriaceae	8157518	Chlorociboria	8034517			
2535839	Leucoagaricus americanus (Peck) Vellinga	2535839	Leucoagaricus americanus (Peck) Vellinga	3	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Agaricaceae	4170	Leucoagaricus	2529999	Leucoagaricus americanus	2535839	NE
2555295	Multiclavula mucida (Pers.) R.H.Petersen	2555295	Multiclavula mucida (Pers.) R.H.Petersen	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Cantharellales	1300	Hydnaceae	8460	Multiclavula	7622979	Multiclavula mucida	2555295	NE
8869949	Ramaria stricta (Pers.) Quél.	8869949	Ramaria stricta (Pers.) Quél.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Gomphales	1303	Gomphaceae	8467	Ramaria	2521461	Ramaria stricta	8869949	NE
8023186	Calostoma cinnabarinum Desv.	8023186	Calostoma cinnabarinum Desv.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Calostomataceae	4189	Calostoma	2524283	Calostoma cinnabarinum	8023186	NE
2537095	Rhizomarasmius pyrrhocephalus (Berk.) R.H.Petersen	2537095	Rhizomarasmius pyrrhocephalus (Berk.) R.H.Petersen	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Physalacriaceae	4182	Rhizomarasmius	2537094	Rhizomarasmius pyrrhocephalus	2537095	NE
5240273	Amanita flavoconia G.F.Atk.	5240273	Amanita flavoconia G.F.Atk.	3	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Amanitaceae	4171	Amanita	6005964	Amanita flavoconia	5240273	NE
2520650	Fulvifomes robiniae (Murrill) Murrill	2520642	Phellinus robiniae (Murrill) A.Ames	1	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Hymenochaetales	1304	Hymenochaetaceae	8468	Phellinus	2520108	Phellinus robiniae	2520642	NE
5259672	Dermatocarpon luridum (Dill. ex With.) J.R.Laundon	5259672	Dermatocarpon luridum (Dill. ex With.) J.R.Laundon	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Eurotiomycetes	178	Verrucariales	1043	Verrucariaceae	4841	Dermatocarpon	5243999	Dermatocarpon luridum	5259672	NE
2544342	Radulomyces copelandii (Pat.) Hjortstam & Spooner	2544342	Radulomyces copelandii (Pat.) Hjortstam & Spooner	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Radulomycetaceae	10763016	Radulomyces	2540563	Radulomyces copelandii	2544342	NE
5239466	Mutinus ravenelii (Berk.) E.Fisch.	5239466	Mutinus ravenelii (Berk.) E.Fisch.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Phallales	532	Phallaceae	3292	Mutinus	2523984	Mutinus ravenelii	5239466	NE
9072021	Laetiporus sulphureus (Bull.) Murrill	9072021	Laetiporus sulphureus (Bull.) Murrill	4	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Polyporales	1145	Laetiporaceae	3272667	Laetiporus	2542160	Laetiporus sulphureus	9072021	NE
4911809	Mycena inclinata (Fr.) Quél.	4911809	Mycena inclinata (Fr.) Quél.	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Mycenaceae	4180	Mycena	5955261	Mycena inclinata	4911809	NE
11945016	Tremella mesenterica (Schaeff.) Pers.	11945016	Tremella mesenterica (Schaeff.) Pers.	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Tremellomycetes	149	Tremellales	1123	Tremellaceae	3827	Tremella	7939704	Tremella mesenterica	11945016	NE
7424376	Mycosphaerella colorata (Peck) Earle	7424376	Mycosphaerella colorata (Peck) Earle	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Dothideomycetes	183	Mycosphaerellales	9783671	Mycosphaerellaceae	4797	Mycosphaerella	2569921	Mycosphaerella colorata	7424376	NE
3289542	Hypholoma subviride (Berk. & M.A.Curtis) Dennis	3293632	Hypholoma fasciculare (Huds.) P.Kumm.	1	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Strophariaceae	4186	Hypholoma	2533397	Hypholoma fasciculare	3293632	NE
7904574	Morchella americana Clowez & Matherly	7904574	Morchella americana Clowez & Matherly	2	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Pezizomycetes	316	Pezizales	1057	Morchellaceae	8398	Morchella	2594601	Morchella americana	7904574	NE
